"","date","Mkt.RF","SMB","HML","RF"
"10198",20040105,1.22,0.34,0.02,0.004
"10199",20040106,0.19,0.13,0.18,0.004
"10200",20040107,0.27,0.5,-0.08,0.004
"10201",20040108,0.48,0.32,0.61,0.004
"10202",20040109,-0.63,0.01,0.29,0.004
"10203",20040112,0.52,0.85,0.02,0.004
"10204",20040113,-0.46,0.16,0.25,0.004
"10205",20040114,0.72,-0.07,0.4,0.004
"10206",20040115,0.11,0.02,-0.35,0.004
"10207",20040116,0.69,0.08,0.46,0.004
"10208",20040120,0.26,1.16,0.48,0.004
"10209",20040121,0.56,-1.08,0.44,0.004
"10210",20040122,-0.29,-0.53,0.03,0.004
"10211",20040123,-0.14,0.88,-0.43,0.004
"10212",20040126,1.05,-0.13,-0.35,0.004
"10213",20040127,-0.86,-0.05,0.03,0.004
"10214",20040128,-1.42,-0.35,-0.38,0.004
"10215",20040129,0.13,-0.95,-0.79,0.004
"10216",20040130,-0.07,0.3,0.27,0.004
"10217",20040202,0.29,-0.34,-0.33,0.003
"10218",20040203,0.01,-0.17,-0.1,0.003
"10219",20040204,-1,-1.52,-0.36,0.003
"10220",20040205,0.22,0.55,0.04,0.003
"10221",20040206,1.43,1.07,0.27,0.003
"10222",20040209,-0.04,0.32,0.41,0.003
"10223",20040210,0.58,0.5,0.24,0.003
"10224",20040211,1.02,-0.26,-0.2,0.003
"10225",20040212,-0.46,-0.1,-0.22,0.003
"10226",20040213,-0.54,-0.69,-0.06,0.003
"10227",20040217,0.98,0.31,0.53,0.003
"10228",20040218,-0.45,-0.1,0.03,0.003
"10229",20040219,-0.54,-0.95,-0.03,0.003
"10230",20040220,-0.36,-0.09,-0.29,0.003
"10231",20040223,-0.51,-1.17,-0.14,0.003
"10232",20040224,-0.1,0.32,-0.21,0.003
"10233",20040225,0.51,0.52,0.13,0.003
"10234",20040226,0.29,0.48,0.27,0.003
"10235",20040227,0.15,0.21,0.44,0.003
"10236",20040301,1.02,0.48,0.28,0.004
"10237",20040302,-0.57,-0.1,0.09,0.004
"10238",20040303,0.12,-0.18,-0.26,0.004
"10239",20040304,0.45,0.78,0.13,0.004
"10240",20040305,0.29,-0.11,-0.18,0.004
"10241",20040308,-0.81,-0.36,0.21,0.004
"10242",20040309,-0.67,-0.41,-0.26,0.004
"10243",20040310,-1.52,-0.28,-0.33,0.004
"10244",20040311,-1.4,0.39,-0.12,0.004
"10245",20040312,1.27,0.94,0.22,0.004
"10246",20040315,-1.56,-1.04,-0.09,0.004
"10247",20040316,0.46,-0.59,-0.13,0.004
"10248",20040317,1.24,0.71,0.3,0.004
"10249",20040318,-0.15,-0.48,0.14,0.004
"10250",20040319,-0.95,0.34,0.3,0.004
"10251",20040322,-1.41,-0.63,-0.09,0.004
"10252",20040323,-0.07,0.41,-0.06,0.004
"10253",20040324,-0.34,-0.05,-0.31,0.004
"10254",20040325,1.66,0.73,-0.47,0.004
"10255",20040326,0.03,0.24,0.59,0.004
"10256",20040329,1.31,0.6,-0.34,0.004
"10257",20040330,0.51,0.46,0.26,0.004
"10258",20040331,0.02,0.12,0.16,0.004
"10259",20040401,0.66,0.23,-0.01,0.004
"10260",20040402,0.86,0.83,-0.03,0.004
"10261",20040405,0.65,0.07,-0.31,0.004
"10262",20040406,-0.35,-0.78,0.3,0.004
"10263",20040407,-0.43,0.92,-0.24,0.004
"10264",20040408,-0.2,-0.27,0.11,0.004
"10265",20040412,0.39,0.2,-0.28,0.004
"10266",20040413,-1.5,-0.6,-0.22,0.004
"10267",20040414,-0.34,-0.37,-0.22,0.004
"10268",20040415,-0.01,-0.3,-0.1,0.004
"10269",20040416,0.48,-0.08,0.22,0.004
"10270",20040419,0.22,0.5,-0.35,0.004
"10271",20040420,-1.55,-0.28,0.1,0.004
"10272",20040421,0.54,0.48,-0.04,0.004
"10273",20040422,1.45,0.03,0.07,0.004
"10274",20040423,-0.03,-0.21,-0.11,0.004
"10275",20040426,-0.32,-0.13,-0.11,0.004
"10276",20040427,0.12,-0.1,-0.06,0.004
"10277",20040428,-1.59,-0.91,0.01,0.004
"10278",20040429,-0.88,-0.84,-0.54,0.004
"10279",20040430,-0.65,-0.81,0.07,0.004
"10280",20040503,0.85,-0.01,-0.38,0.003
"10281",20040504,0.35,0.49,0.08,0.003
"10282",20040505,0.24,-0.09,-0.35,0.003
"10283",20040506,-0.84,-0.38,-0.19,0.003
"10284",20040507,-1.6,-0.6,-0.54,0.003
"10285",20040510,-1.38,-0.51,-0.49,0.003
"10286",20040511,0.99,0.84,0.15,0.003
"10287",20040512,0.11,-0.2,-0.08,0.003
"10288",20040513,-0.09,-0.28,0,0.003
"10289",20040514,-0.14,-0.68,0.22,0.003
"10290",20040517,-1.08,-0.36,-0.4,0.003
"10291",20040518,0.78,0.31,0.33,0.003
"10292",20040519,-0.12,0.06,0.38,0.003
"10293",20040520,0.04,-0.15,0.25,0.003
"10294",20040521,0.44,0.39,0.02,0.003
"10295",20040524,0.37,0.66,0.62,0.003
"10296",20040525,1.63,0.59,0.1,0.003
"10297",20040526,0.27,0.12,0,0.003
"10298",20040527,0.56,-0.25,-0.16,0.003
"10299",20040528,0.03,-0.03,0.17,0.003
"10300",20040601,0.13,0.62,-0.03,0.004
"10301",20040602,0.29,-0.23,-0.16,0.004
"10302",20040603,-0.86,-0.88,-0.08,0.004
"10303",20040604,0.6,0.32,0.03,0.004
"10304",20040607,1.55,0.17,0.36,0.004
"10305",20040608,0.06,-0.17,-0.04,0.004
"10306",20040609,-1.08,-0.49,0.1,0.004
"10307",20040610,0.35,-0.29,0.42,0.004
"10308",20040614,-1.11,-0.56,-0.42,0.004
"10309",20040615,0.79,0.92,0.25,0.004
"10310",20040616,0.13,0.17,0.1,0.004
"10311",20040617,-0.05,-0.02,0.24,0.004
"10312",20040618,0.21,-0.18,0.24,0.004
"10313",20040621,-0.37,0.13,0.12,0.004
"10314",20040622,0.38,0.22,-0.01,0.004
"10315",20040623,0.88,0.49,0.27,0.004
"10316",20040624,-0.2,0.09,0,0.004
"10317",20040625,-0.2,1.16,0.12,0.004
"10318",20040628,-0.23,-0.01,-0.18,0.004
"10319",20040629,0.27,0.52,0.01,0.004
"10320",20040630,0.54,0.11,0.32,0.004
"10321",20040701,-1,-0.53,0.64,0.005
"10322",20040702,-0.19,0.17,0.42,0.005
"10323",20040706,-0.9,-0.86,1.09,0.005
"10324",20040707,0.19,-0.29,0.19,0.005
"10325",20040708,-0.93,-0.97,0.38,0.005
"10326",20040709,0.32,0.15,-0.11,0.005
"10327",20040712,0,-0.47,0.4,0.005
"10328",20040713,0.05,0.1,-0.02,0.005
"10329",20040714,-0.27,-0.36,0.62,0.005
"10330",20040715,-0.33,0.59,0.19,0.005
"10331",20040716,-0.47,-0.74,0.72,0.005
"10332",20040719,-0.06,-0.22,0.59,0.005
"10333",20040720,0.74,0.87,-0.72,0.005
"10334",20040721,-1.45,-1.18,0.66,0.005
"10335",20040722,0.08,-0.49,-0.47,0.005
"10336",20040723,-1.02,-0.46,0.87,0.005
"10337",20040726,-0.47,-0.7,0.21,0.005
"10338",20040727,1.03,0.95,-0.53,0.005
"10339",20040728,-0.02,-0.56,0.34,0.005
"10340",20040729,0.66,0.94,-0.59,0.005
"10341",20040730,0.14,0.2,-0.31,0.005
"10342",20040802,0.35,-0.51,0.55,0.005
"10343",20040803,-0.67,-0.88,0.89,0.005
"10344",20040804,-0.23,0.08,-0.23,0.005
"10345",20040805,-1.6,-0.22,0.48,0.005
